session_id,user_id,anonymous_id,started_at,ended_at,duration_seconds,device_type,platform,country,referrer,_source_system,_ingested_at,_batch_id
ses_2999394c,usr_b8ba8368,anon_41dc1c60,2026-05-01 21:40:47,2026-05-01 22:02:56,1329,desktop,web,JP,,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_bc92fd81,usr_dbccc477,anon_915a1c30,2026-05-01 17:16:56,2026-05-01 17:48:09,1873,mobile,web,FR,,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_2ced3c0d,usr_cc530e36,anon_e5a4983b,2026-05-01 09:59:52,2026-05-01 10:30:23,1831,mobile,android,AU,email,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_83e96ef4,usr_7914c120,anon_ab545a15,2026-05-01 05:02:16,2026-05-01 05:13:03,647,desktop,web,DE,google,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_23ff23d3,usr_3d67cde9,anon_3f800385,2026-05-01 19:45:21,2026-05-01 20:17:39,1938,mobile,android,JP,,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_3c4b1eec,usr_146d3f31,anon_f43ba052,2026-05-01 20:57:36,2026-05-01 21:24:04,1588,tablet,android,JP,facebook,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_b90ed44b,usr_adedda80,anon_a757cb10,2026-05-01 19:53:02,2026-05-01 20:48:08,3306,mobile,ios,FR,facebook,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_0fe76149,usr_ebff8d15,anon_4e8adc4b,2026-05-01 12:14:17,2026-05-01 13:00:26,2769,mobile,ios,BR,direct,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_80a52e65,usr_0f5ae9d3,anon_b41c504f,2026-05-01 00:58:54,2026-05-01 01:26:17,1643,desktop,ios,JP,direct,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_1e0ef546,usr_5380b904,anon_4b87959f,2026-05-01 01:49:50,2026-05-01 02:08:05,1095,mobile,android,AU,facebook,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_3818cfd3,usr_fa745761,anon_27372b52,2026-05-01 09:11:05,2026-05-01 10:08:34,3449,mobile,web,US,email,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_9b11b530,usr_6c52c49f,anon_8c9aa1e9,2026-05-01 23:43:46,2026-05-01 23:47:00,194,tablet,ios,US,,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_899ac252,usr_ce9e1a11,anon_37e9d2e2,2026-05-01 17:14:30,2026-05-01 18:00:42,2772,tablet,android,FR,email,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_c1369c65,usr_a1a27485,anon_14f573d0,2026-05-01 04:10:12,2026-05-01 05:03:47,3215,tablet,ios,US,email,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_b42a0456,usr_3985fb62,anon_906d5c8c,2026-05-01 14:26:30,2026-05-01 15:15:48,2958,desktop,web,DE,google,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_8c32bdb2,usr_892e6161,anon_929c93b3,2026-05-01 21:51:37,2026-05-01 22:47:06,3329,tablet,ios,AU,,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_53ff8461,usr_7f9d3e64,anon_1dc1e7eb,2026-05-01 02:30:38,2026-05-01 03:05:40,2102,mobile,android,BR,google,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_95492a82,usr_7ed70ed7,anon_82a7f586,2026-05-01 23:08:27,2026-05-02 00:05:31,3424,mobile,ios,FR,,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_741423b5,usr_0f5ae9d3,anon_74f0beae,2026-05-01 17:36:12,2026-05-01 18:08:26,1934,desktop,android,AU,direct,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_765e6cb5,usr_6c006f61,anon_b928e23f,2026-05-01 10:09:19,2026-05-01 10:40:35,1876,mobile,web,JP,email,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_d1031424,,anon_940c3503,2026-05-01 11:50:00,2026-05-01 12:02:54,774,mobile,android,AU,email,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_58330b30,usr_81f38dd4,anon_fe7ee362,2026-05-01 10:03:31,,2306,tablet,ios,DE,facebook,event_tracker,2026-05-01 23:00:00,batch_20260501
