transaction_id,user_id,session_id,product_id,amount,currency,status,event_at,updated_at,refund_amount,refunded_at,refund_reason,_source_system,_ingested_at
txn_f4ff3f3a,usr_cae28e66,ses_899ac252,prd_30d73df7,64.99,USD,partially_refunded,2026-05-01 13:38:51,2026-05-02 19:00:00,32.57,2026-05-02 19:00:00,item_not_received,payments,2026-05-02 23:00:00
txn_efe9b3d0,usr_637e4b01,ses_b42a0456,prd_ab7a3d1c,168.56,USD,partially_refunded,2026-05-01 17:02:19,2026-05-04 11:00:00,56.16,2026-05-04 11:00:00,duplicate_charge,payments,2026-05-04 23:00:00
txn_1e086f20,usr_96a402f2,ses_589decb0,prd_83c501cb,170.94,USD,completed,2026-05-01 02:32:25,2026-05-01 02:32:25,,,,payments,2026-05-01 23:00:00
txn_7a9a8ef5,usr_81f38dd4,ses_d96e684f,prd_c3affcfe,153.63,USD,refunded,2026-05-01 08:47:33,2026-05-05 15:00:00,153.63,2026-05-05 15:00:00,duplicate_charge,payments,2026-05-05 23:00:00
txn_9aba0f15,usr_56c438e4,ses_58330b30,prd_c3affcfe,153.63,USD,partially_refunded,2026-05-01 22:00:23,2026-05-07 14:00:00,66.77,2026-05-07 14:00:00,fraud,payments,2026-05-07 23:00:00
txn_ea45ba41,usr_f28e4122,ses_dd1d6cd1,prd_cdd0b4d4,130.24,USD,partially_refunded,2026-05-01 20:12:31,2026-05-03 17:00:00,89.25,2026-05-03 17:00:00,duplicate_charge,payments,2026-05-03 23:00:00
txn_c68813fe,usr_43d88870,ses_bd9419aa,prd_a723fb72,155.1,USD,refunded,2026-05-01 12:20:54,2026-05-02 17:00:00,155.1,2026-05-02 17:00:00,duplicate_charge,payments,2026-05-02 23:00:00
txn_889d4b76,usr_939b462d,ses_08987462,prd_b91e3d6e,114.25,USD,completed,2026-05-01 17:32:22,2026-05-01 17:32:22,,,,payments,2026-05-01 23:00:00
txn_42f5b3f5,usr_892e6161,ses_e821e716,prd_cdd0b4d4,130.24,USD,completed,2026-05-01 03:13:51,2026-05-01 03:13:51,,,,payments,2026-05-01 23:00:00
txn_7f4d908c,usr_4fdc6e1b,ses_b90ed44b,prd_ff84faef,146.04,USD,completed,2026-05-01 13:57:14,2026-05-01 13:57:14,,,,payments,2026-05-01 23:00:00
txn_1ac3bf31,usr_45b1ed25,ses_64976593,prd_e0723d96,210.77,USD,completed,2026-05-02 12:55:58,2026-05-02 12:55:58,,,,payments,2026-05-02 23:00:00
txn_f633cc2d,usr_b88ec318,ses_762cdfbc,prd_a723fb72,155.1,USD,completed,2026-05-02 20:40:46,2026-05-02 20:40:46,,,,payments,2026-05-02 23:00:00
txn_f0d0270f,usr_5e2ad32d,ses_0b570720,prd_30d73df7,64.99,USD,completed,2026-05-02 14:32:16,2026-05-02 14:32:16,,,,payments,2026-05-02 23:00:00
